Duration(Days),Main Cause,Latitude,Longitude,Severity,Human injury
254,MonsooHeavy rainl rain,28.2424,76.8263,1,600
92,MonsooHeavy rainl rain,27.5887,88.4616,1,35
3,MonsooHeavy rainl rain,22.4615,87.3749,1,144
3,Tropical cyclone,16.4132,80.612,1,94
3,MonsooHeavy rainl rain,26.5766,73.762,1,63
3,MonsooHeavy rainl rain,27.4105,92.3599,1,82
83,Heavy rain,24.7685,85.6883,1,74
4,Heavy Rain,15.0341,78.7288,1,326
122,Tropical Cyclone,17.0009,81.7657,2,2500
304,MonsooHeavy rainl rain,24.0572,86.2554,1,24
6,MonsooHeavy rainl rain,31.7905,77.3409,1,200
65,MonsooHeavy rainl rain,22.4404,71.3091,1,273
76,MonsooHeavy rainl rain,9.49041,76.6811,1,100
68,MonsooHeavy rainl rain,26.0909,92.9144,1,97
4,MonsooHeavy rainl rain,33.9398,74.8298,1,26
5,MonsooHeavy rainl rain,18.8234,75.4418,1,50
5,Tropical cyclone,16.9874,82.1012,1,32
153,MonsooHeavy rainl rain,13.8493,78.9883,1,6
61,Extra-tropical cyclone,24.0181,68.8677,1,1126
2,"Dam/Levy, break or release",20.4037,74.4164,1,12
283,Heavy rain,16.1464,79.4042,1,230
5,Torrential rain,23.3997,88.9474,1,45
43,Tropical cyclone,21.1735,85.3527,2,9803
3,"Dam/Levy, break or release",27.4268,94.7981,2,30
3,Torrential rain,31.806,77.6925,1,140
204,MonsooHeavy rainl rain,27.094,94.643,1,637
8,Torrential rain,17.1335,79.2098,2,162
16,MonsooHeavy rainl rain,26.9607,80.4678,1,578
3,Heavy rain,19.9343,80.0385,1,40
33,MonsooHeavy rainl rain,24.0841,88.5453,2,1468
13,MonsooHeavy rainl rain,15.811,74.5207,1,140
47,MonsooHeavy rainl rain,24.4457,92.0058,1,15
1,MonsooHeavy rainl rain,22.8284,71.2868,1,29
100,MonsooHeavy rainl rain,9.72651,76.423,1,86
62,MonsooHeavy rainl rain,21.0559,84.7987,2,100
0,Torrential rain,30.7738,79.8583,1,26
1,Heavy rain,32.6061,76.1481,1,16
81,Heavy rain,26.7556,83.0513,1,65
77,Heavy rain,26.5321,84.87,1,146
3,Torrential rain,16.746,79.1214,1,12
5,Heavy rain,14.8405,79.054,1,143
89,Heavy rain,10.4517,78.7843,1,11
6,MonsooHeavy rainl rain,27.8034,95.3833,1,0
1,"Dam/Levy, break or release",22.342,88.9351,1,4
3,MonsooHeavy rainl rain,20.8681,73.6623,1,169
68,MonsooHeavy rainl rain,25.8418,89.2696,1,503
3,Heavy rain,30.5622,78.5235,1,33
92,MonsooHeavy rainl rain,21.5391,73.2201,1,22
6,MonsooHeavy rainl rain,11.8739,75.527,1,11
3,Heavy rain,10.9485,79.0643,1,20
3,MonsooHeavy rainl rain,12.9158,74.9274,1,4
6,MonsooHeavy rainl rain,21.3961,73.44,1,4
3,MonsooHeavy rainl rain,21.9811,73.9596,1,2
3,MonsooHeavy rainl rain,19.1881,79.2948,1.5,2
54,MonsooHeavy rainl rain,20.6258,85.8936,1,67
61,MonsooHeavy rainl rain,12.1226,75.4747,1,45
20,MonsooHeavy rainl rain,25.4989,85.8918,2,3000
214,MonsooHeavy rainl rain,21.0247,73.7641,1,210
100,Heavy rain,24.6862,89.4002,1,210
3,Heavy rain,31.6718,78.4423,1,6
17,MonsooHeavy rainl rain,21.433,73.0739,2,202
3,MonsooHeavy rainl rain,20.9765,86.4305,1,1
158,MonsooHeavy rainl rain,24.1288,80.1999,1,62
20,MonsooHeavy rainl rain,27.4363,87.0126,1,40
3,MonsooHeavy rainl rain,17.9836,73.435,1,987
24,MonsooHeavy rainl rain,16.9772,79.9654,1,126
3,MonsooHeavy rainl rain,20.9915,86.2759,1,8
4,Heavy rain,25.886,83.2115,1,21
16,Heavy rain,21.1139,82.5389,1,89
3,MonsooHeavy rainl rain,28.1973,79.3734,1,23
49,Heavy rain,21.7139,73.4733,1,15
7,Heavy rain,21.9409,87.9347,1,13
3,MonsooHeavy rainl rain,11.7804,78.7317,1,279
3,Heavy rain,17.4335,82.8115,1,20
3,MonsooHeavy rainl rain,18.7332,75.2343,1,41
3,MonsooHeavy rainl rain,10.5443,76.0498,2,32
54,MonsooHeavy rainl rain,26.5993,94.0245,1,21
3,MonsooHeavy rainl rain,25.6151,83.6713,1,160
153,MonsooHeavy rainl rain,19.1719,83.6477,1,33
92,MonsooHeavy rainl rain,19.1028,72.8816,1,9
91,Heavy rain,22.4114,71.3097,1,24
134,MonsooHeavy rainl rain,20.1943,73.8242,2,457
274,MonsooHeavy rainl rain,18.1046,81.5288,1,185
3,MonsooHeavy rainl rain,27.5853,81.5174,1,42
70,MonsooHeavy rainl rain,32.8864,73.8842,1,39
3,MonsooHeavy rainl rain,19.73,83.7466,1,250
3,MonsooHeavy rainl rain,14.1349,79.9324,1,47
11,Heavy rain,33.4819,74.2156,1,12
8,MonsooHeavy rainl rain,26.2558,94.0189,1,15
3,MonsooHeavy rainl rain,14.945,78.1615,1,127
13,MonsooHeavy rainl rain,20.0539,81.8601,1,29
151,MonsooHeavy rainl rain,21.0263,77.5237,1,62
187,MonsooHeavy rainl rain,22.0231,72.2495,1,225
199,MonsooHeavy rainl rain,22.6315,88.4871,1.5,958
3,MonsooHeavy rainl rain,27.5773,95.263,1,96
4,MonsooHeavy rainl rain,10.3906,76.3115,1,44
172,MonsooHeavy rainl rain,20.4525,86.1978,1,15
7,MonsooHeavy rainl rain,22.6824,70.925,1,12
3,MonsooHeavy rainl rain,31.2388,76.5268,1,76
3,MonsooHeavy rainl rain,15.7067,79.878,1,94
3,Heavy rain,20.9096,86.4033,1,80
7,Heavy rain,24.7214,93.9705,1.5,2
3,Heavy rain,12.725,79.7002,1,29
7,Heavy rain,10.762,78.7172,1,37
4,Heavy rain,26.4,93.755,1,0
3,Heavy Rain,22.1496,110.224,1.5,65
68,MonsooHeavy rainl rain,25.2411,90.1201,1.5,350
19,MonsooHeavy rainl rain,27.4995,89.7871,2,142
184,MonsooHeavy rainl rain,16.6523,81.3801,1.5,74
3,MonsooHeavy rainl rain,27.0442,94.5503,1.5,900
7,"Dam/Levy, break or release",20.9522,84.4064,2,2400
151,Heavy Rain,20.2249,84.7692,1,0
3,Heavy Rain,15.3059,74.7271,1,0
92,Torrential rain,27.481,93.8215,1,6
90,"Dam/Levy, break or release",26.5,85.5,1.5,0
12,"Dam/Levy, break or release",27.629,80.7483,1,14
9,MonsooHeavy rainl rain,26.8177,94.143,1,0
122,"Dam/Levy, break or release",22.5263,88.0605,2,0
76,Heavy Rain,15.7081,78.233,2,303
153,Torrential rain,11.4729,77.8452,1.5,70
2,MonsooHeavy rainl rain,27.2504,94.6126,1,0
3,Heavy Rain,26.3166,91.8623,2,0
42,MonsooHeavy rainl rain,26.6381,93.1226,1.5,0
6,Heavy rain,15.2182,79.4844,1,27
69,MonsooHeavy rainl rain,30.1895,74.7785,1,98
3,MonsooHeavy rainl rain,25.5869,86.1983,1,0
61,Torrential rain,33.5267,76.1256,1.5,150
142,Torrential rain,25.965,76.05,1,0
251,MonsooHeavy rainl rain,16.29,80.055,1.5,0
131,Torrential rain,26.235,92.25,1.5,1
12,MonsooHeavy rainl rain,26.73,82.845,1.5,88
2,MonsooHeavy rainl rain,25.695,87.75,1,0
3,MonsooHeavy rainl rain,9.88679,78.4773,1.5,170
158,MonsooHeavy rainl rain,10.8365,76.7588,1,4
3,Torrential rain,20.7933,85.8723,1,5
196,MonsooHeavy rainl rain,26.0844,86.1969,1,0
196,MonsooHeavy rainl rain,27.3624,94.0349,1,0
47,"Dam/Levy, break or release",28.5244,80.9261,1.5,19
3,MonsooHeavy rainl rain,22.3056,88.3453,2,47
3,MonsooHeavy rainl rain,26.3755,86.2422,2,158
3,MonsooHeavy rainl rain,26.5897,92.1815,1.5,7
19,MonsooHeavy rainl rain,22.3021,73.9531,1.5,0
3,MonsooHeavy rainl rain,20.6511,86.0022,1.5,40
40,MonsooHeavy rainl rain,26.5659,92.4354,1.5,109
107,MonsooHeavy rainl rain,26.1094,86.557,1,9
61,Torrential rain,30.1135,78.8529,1.5,30
92,MonsooHeavy rainl rain,19.4398,82.3216,1,0
4,MonsooHeavy rainl rain,20.9855,82.7962,1,1
2,Torrential rain,31.3063,76.8569,2,45
26,MonsooHeavy rainl rain,26.8031,93.6379,2,21
122,Tropical cyclone,11.8283,78.8042,2,40
10,MonsooHeavy rainl rain,32.7135,76.6135,1.5,5748
3,MonsooHeavy rainl rain,21.9781,82.5285,1,0
22,MonsooHeavy rainl rain,27.387,94.9182,2,80
3,Tropical cyclone,21.2719,84.2495,2,27
3,Heavy Rain,24.7174,85.9321,1.5,7
2,MonsooHeavy rainl rain,27.8115,94.716,1,0
9,MonsooHeavy rainl rain,20.7752,84.1258,1,6
3,MonsooHeavy rainl rain,27.3852,79.7586,1.5,31
3,MonsooHeavy rainl rain,26.1795,86.2537,1.5,0
3,MonsooHeavy rainl rain,27.6132,94.6542,1,1
47,MonsooHeavy rainl rain,26.7465,92.4891,1.5,59
3,Tropical cyclone,18.4473,79.6967,1.5,42
5,MonsooHeavy rainl rain,10.2916,78.2616,1,5
11,Heavy Rain,33.1767,76.4058,1.5,44
4,Torrential rain,10.7121,79.1771,1,8
143,MonsooHeavy rainl rain,26.9195,93.8747,1.5,3
5,MonsooHeavy rainl rain,21.8734,70.7643,1.5,81
35,MonsooHeavy rainl rain,26.2074,82.6165,2,206
88,MonsooHeavy rainl rain,26.8946,93.751,1,5
3,Tropical cyclone,11.8278,78.8554,2,180
3,Heavy Rain,27.464,95.6068,1.5,18
58,MonsooHeavy rainl rain,27.068,93.949,1.5,30
3,MonsooHeavy rainl rain,22.8107,80.8349,1.5,20
60,MonsooHeavy rainl rain,21.7477,73.4119,1.5,20
69,MonsooHeavy rainl rain,25.6099,85.1898,1.5,127
25,MonsooHeavy rainl rain,17.6536,80.3401,1.5,17
29,MonsooHeavy rainl rain,27.6131,94.9387,1,6
5,MonsooHeavy rainl rain,21.898,70.9375,1,94
73,MonsooHeavy rainl rain,22.9061,88.0848,1,39
3,MonsooHeavy rainl rain,28.1657,79.076,2,253
3,Heavy Rain,10.489,79.0039,1.5,4
1,Torrential rain,14.3584,75.4408,1.5,3
3,MonsooHeavy rainl rain,26.8948,93.3551,1.5,20
135,MonsooHeavy rainl rain,33.3752,75.1439,1,3
3,MonsooHeavy rainl rain,20.9795,73.783,1,20
153,MonsooHeavy rainl rain,19.5656,74.5501,1.5,1
3,MonsooHeavy rainl rain,12.5238,75.6883,1.5,12
92,MonsooHeavy rainl rain,9.39943,76.7275,1.5,20
242,MonsooHeavy rainl rain,27.2914,94.1222,1.5,0
181,MonsooHeavy rainl rain,25.7354,82.4309,1.5,20
3,MonsooHeavy rainl rain,26.0513,94.7655,1.5,11
3,Torrential rain,31.3414,76.6285,1,28
30,Tropical cyclone,17.9,83.3588,1.5,7
122,Tropical cyclone,21.5427,87.4662,1.5,43
3,Heavy Rain,23.4991,91.5736,1.5,0
16,MonsooHeavy rainl rain,27.3531,94.3944,1,3
120,Torrential rain,20.2969,74.748,1.5,36
92,MonsooHeavy rainl rain,11.4575,76.0842,1.5,0
123,MonsooHeavy rainl rain,19.1145,83.4825,1.5,25
9,MonsooHeavy rainl rain,25.3928,74.3521,1.5,0
7,MonsooHeavy rainl rain,24.1511,77.3956,1.5,0
3,Heavy Rain,27.0678,94.2459,1,2
3,Heavy Rain,10.8488,78.8554,1.5,30
0,Riverine flood,21.1495,86.7154,1,95
0,Heavy rain,25.6339,84.0726,1,340
0,Riverine flood,17.4331,80.187,1,557
3,Heavy rain,23.6547,89.4296,1,49
3,Heavy rain,26.4813,92.0622,1,258
0,Heavy rain,26.988,92.926,1,150
0,Heavy rain,28.886,80.7246,1,49
3,Heavy rain,22.0189,71.1117,1,76
0,Heavy rain,18.4311,80.713,1,34
3,Heavy rain,26.5037,86.5429,1,233
3,Heavy rain,30.9339,75.0459,1,97
0,Heavy rain,19.1131,72.8962,1,50
0,Heavy rain,15.1816,76.4736,1,876
3,Heavy rain,24.8678,92.8291,1,731
3,Heavy rain,26.4375,80.8611,1,23
0,Heavy rain,33.8036,76.2592,1,780
3,Heavy rain,16.2843,80.6926,1,31
3,Heavy rain,26.7553,92.7754,1,7
3,Heavy rain,26.7055,78.8703,1,17
3,Heavy rain,27.5435,80.6956,1,430
0,Heavy rain,22.4257,71.3244,1,21
0,Heavy rain,26.0747,92.817,1,425
3,Heavy rain,11.3982,77.0504,1,17
3,Heavy rain,24.4696,92.4232,1,50
3,Heavy rain,15.733,73.7324,1,10
3,Heavy rain,26.6059,92.9592,1,44
3,Heavy rain,20.9474,79.1574,1,13
3,Heavy rain,20.2047,84.4178,1,72
3,Heavy rain,28.3671,81.0334,1,25
3,Heavy rain,24.707,85.7348,1,500
3,Heavy rain,24.3395,87.8328,1,15
0,Heavy rain,14.0025,79.4752,1,88
0,Heavy rain,16.5216,75.9695,1,0
3,Flash flood,26.9122,94.46,1,21
3,Heavy rain,20.5033,86.0449,1,90
3,Heavy rain,24.8678,80.7003,1,90
3,Heavy rain,13.0242,78.8487,1,0
0,Heavy rain,24.9382,92.0974,1,16
3,Heavy rain,25.1622,89.7567,1,40
0,Heavy rain,27.9917,78.9675,1,263
3,Heavy rain,13.407,75.4042,1,238
3,Heavy rain,11.054,77.5024,1,3083
0,Heavy rain,12.5851,79.9572,1,232
3,Heavy rain,20.6258,76.6191,1,35
3,Riverine flood,31.7869,77.252,1,95
3,Heavy rain,27.586,80.6237,1,70
3,Heavy rain,31.7821,76.9177,1,617
3,Heavy rain,31.7668,77.27,1,60
3,Heavy rain,20.7866,79.2684,1,53
3,Heavy rain,31.5294,77.0555,1,11
3,Heavy rain,20.1358,84.4369,1,9
0,Heavy rain,10.7214,78.7248,1,26
3,Heavy rain,16.2498,80.0422,1,20
3,Heavy rain,23.2582,92.8575,1,0
3,Heavy rain,26.0363,92.8902,1,40
3,Heavy rain,28.2424,76.8263,1,230
3,Heavy rain,27.5887,88.4616,1,40
0,Heavy rain,22.4615,87.3749,1,17
3,Heavy rain,16.4132,80.612,1,600
3,Heavy rain,26.5766,73.762,1,35
3,Heavy rain,27.4105,92.3599,1,144
3,Heavy rain,24.7685,85.6883,1,94
3,Heavy rain,15.0341,78.7288,1,63
3,Heavy rain,17.0009,81.7657,1,82
3,Heavy rain,24.0572,86.2554,1,74
0,Heavy rain,31.7905,77.3409,1,326
0,Flash flood,22.4404,71.3091,1,2500
3,Heavy rain,9.49041,76.6811,1,24
3,Heavy rain,26.0909,92.9144,1,200
3,Heavy rain,33.9398,74.8298,1,273
3,Heavy rain,18.8234,75.4418,1,100
0,Heavy rain,16.9874,82.1012,1,97
3,Riverine flood,13.8493,78.9883,1,26
0,Riverine flood,24.0181,68.8677,1,50
3,Riverine flood,20.4037,74.4164,1,32
0,Heavy rain,16.1464,79.4042,1,6
3,Heavy rain,23.3997,88.9474,1,1126
3,Riverine flood,21.1735,85.3527,1,12
3,Heavy rain,27.4268,94.7981,1,230
0,Heavy rain,31.806,77.6925,1,45
0,Heavy rain,27.094,94.643,1,9803
3,Riverine flood,17.1335,79.2098,1,30
17,Riverine flood,26.9607,80.4678,1,140
3,Heavy rain,19.9343,80.0385,1,637
0,Riverine flood,24.0841,88.5453,1,162
3,Riverine flood,15.811,74.5207,1,578
1,Flash flood,24.4457,92.0058,1,40
4,Riverine flood,22.8284,71.2868,1,1468
3,Heavy rain,9.72651,76.423,1,140
5,Riverine flood,21.0559,84.7987,1,15
6,Coastal flood,30.7738,79.8583,1,29
2,Riverine flood,32.6061,76.1481,1,86
1,Coastal flood,26.7556,83.0513,1,100
0,Riverine flood,26.5321,84.87,1,26
38,Riverine flood,16.746,79.1214,1,16
0,Riverine flood,14.8405,79.054,1,65
14,Riverine flood,10.4517,78.7843,1,146
1,Riverine flood,27.8034,95.3833,1,12
3,Riverine flood,22.342,88.9351,1,143
0,Riverine flood,20.8681,73.6623,1,11
5,Riverine flood,25.8418,89.2696,1,0
0,Heavy rain,30.5622,78.5235,1,4
3,Riverine flood,21.5391,73.2201,1,169
23,Heavy rain,11.8739,75.527,1,503
10,Flash flood,10.9485,79.0643,1,33
8,Riverine flood,12.9158,74.9274,1,22
3,Riverine flood,21.3961,73.44,1,11
3,Riverine flood,21.9811,73.9596,1,20
3,Heavy rain,14.5398,75.0937,1,4
0,Riverine flood,32.8353,76.9103,1,4
19,Riverine flood,26.4816,82.8434,1,2
3,Riverine flood,21.1495,86.7154,1,2
0,Riverine flood,25.6339,84.0726,1,95
0,Heavy rain,17.4331,80.187,1,340
0,Heavy rain,23.6547,89.4296,1,557
4,Riverine flood,26.4813,92.0622,1,49
14,Riverine flood,26.988,92.926,1,258
7,Heavy rain,28.886,80.7246,1,150
24,Riverine flood,22.0189,71.1117,1,49
6,Riverine flood,18.4311,80.713,1,76
0,Coastal flood,26.5037,86.5429,1,34
3,Heavy rain,30.9339,75.0459,1,233
6,Riverine flood,19.1131,72.8962,1,97
3,Heavy rain,15.1816,76.4736,1,50
5,Riverine flood,24.8678,92.8291,1,876
3,Heavy rain,26.4375,80.8611,1,731
2,Flash flood,33.8036,76.2592,1,23
0,Heavy rain,16.2843,80.6926,1,780
23,Riverine flood,26.7553,92.7754,1,31
3,Heavy rain,26.7055,78.8703,1,7
0,Flash flood,27.5435,80.6956,1,17
3,Flash flood,22.4257,71.3244,1,430
28,Riverine flood,26.0747,92.817,1,21
8,Flash flood,11.3982,77.0504,1,425
33,Riverine flood,24.4696,92.4232,1,17
0,Heavy rain,15.733,73.7324,1,50
17,Riverine flood,26.6059,92.9592,1,10
2,Riverine flood,20.9474,79.1574,1,44
3,Heavy rain,20.2047,84.4178,1,13
12,Riverine flood,28.3671,81.0334,1,72
3,Riverine flood,24.707,85.7348,1,25
3,Heavy rain,24.3395,87.8328,1,500
0,Heavy rain,14.0025,79.4752,1,15
3,Flash flood,16.5216,75.9695,1,88
17,Heavy rain,26.9122,94.46,1,0
68,Riverine flood,20.5033,86.0449,1,21
2,Riverine flood,24.8678,80.7003,1,90
0,Riverine flood,13.0242,78.8487,1,90
3,Riverine flood,24.9382,92.0974,1,0
6,Riverine flood,25.1622,89.7567,1,16
0,Heavy rain,27.9917,78.9675,1,40
121,Riverine flood,13.407,75.4042,1,263
48,Riverine flood,11.054,77.5024,1,238
54,Riverine flood,12.5851,79.9572,1,3083
0,Flash flood,20.6258,76.6191,1,232
0,Flash flood,31.7869,77.252,1,35
0,Riverine flood,27.586,80.6237,1,95
4,Riverine flood,31.7821,76.9177,1,70
3,Riverine flood,31.7668,77.27,1,617
2,Riverine flood,20.7866,79.2684,1,60
2,Flash flood,31.5294,77.0555,1,53
11,Flash flood,20.1358,84.4369,1,11
38,Riverine flood,10.7214,78.7248,1,9
0,Riverine flood,16.2498,80.0422,1,26
17,Riverine flood,23.2582,92.8575,1,20
0,Riverine flood,26.0363,92.8902,1,0
3,Riverine flood,28.2424,76.8263,1,40
21,Riverine flood,27.5887,88.4616,1,230
13,Riverine flood,22.4615,87.3749,1,40
0,Riverine flood,16.4132,80.612,1,17
12,Riverine flood,26.5766,73.762,1,600
2,Flash flood,27.4105,92.3599,1,35
24,Riverine flood,24.7685,85.6883,1,144
3,Riverine flood,15.0341,78.7288,1,94
6,Riverine flood,17.0009,81.7657,1,63
3,Riverine flood,24.0572,86.2554,1,82
19,Riverine flood,31.7905,77.3409,1,74
21,Riverine flood,22.4404,71.3091,1,326
1,Riverine flood,9.49041,76.6811,1,2500
40,Riverine flood,26.0909,92.9144,1,24
3,Flash flood,33.9398,74.8298,1,200
54,Riverine flood,18.8234,75.4418,1,273
8,Riverine flood,16.9874,82.1012,1,100
4,Riverine flood,13.8493,78.9883,1,97
3,Riverine flood,24.0181,68.8677,1,26
3,Riverine flood,20.4037,74.4164,1,50
5,Riverine flood,16.1464,79.4042,1,32
29,Riverine flood,23.3997,88.9474,1,6
46,Riverine flood,21.1735,85.3527,1,1126
3,Riverine flood,27.4268,94.7981,1,12
15,Riverine flood,31.806,77.6925,1,230
11,Flash flood,27.094,94.643,1,45
6,Riverine flood,17.1335,79.2098,1,9803
9,Riverine flood,26.9607,80.4678,1,30
40,Riverine flood,19.9343,80.0385,1,140
1,Riverine flood,24.0841,88.5453,1,637
0,Flash flood,15.811,74.5207,1,162
8,Riverine flood,24.4457,92.0058,1,578
12,Riverine flood,22.8284,71.2868,1,40
5,Riverine flood,9.72651,76.423,1,1468
13,Riverine flood,21.0559,84.7987,1,140
12,Flash flood,30.7738,79.8583,1,15
13,Riverine flood,32.6061,76.1481,1,29
81,Riverine flood,26.7556,83.0513,1,86
5,Riverine flood,26.5321,84.87,1,100
7,Riverine flood,16.746,79.1214,1,26
11,Coastal flood,14.8405,79.054,1,16
21,Riverine flood,10.4517,78.7843,1,65
5,Riverine flood,27.8034,95.3833,1,146
24,Riverine flood,22.342,88.9351,1,12
90,Riverine flood,20.8681,73.6623,1,143
4,Riverine flood,25.8418,89.2696,1,11
5,Heavy rain,30.5622,78.5235,1,0
8,Heavy rain,21.5391,73.2201,1,4
40,Flash flood,11.8739,75.527,1,169
9,Riverine flood,10.9485,79.0643,1,503
6,Riverine flood,12.9158,74.9274,1,33
7,Riverine flood,21.3961,73.44,1,22
9,Riverine flood,21.9811,73.9596,1,11
7,Flash flood,19.1881,79.2948,1,20
19,Riverine flood,20.6258,85.8936,1,4
0,Flash flood,12.1226,75.4747,1,4
3,Riverine flood,25.4989,85.8918,1,2
17,Riverine flood,21.0247,73.7641,1,2
0,Riverine flood,24.6862,89.4002,1,10
5,Riverine flood,31.6718,78.4423,1,23
2,Riverine flood,21.433,73.0739,1,10
10,Riverine flood,20.9765,86.4305,1,1
6,Riverine flood,24.1288,80.1999,1,2
0,Riverine flood,27.4363,87.0126,1,10
2,Flash flood,17.9836,73.435,1,32
12,Riverine flood,16.9772,79.9654,1,12
12,Riverine flood,20.9915,86.2759,1,23
0,Riverine flood,25.886,83.2115,1,45
22,Riverine flood,21.1139,82.5389,1,9
34,Riverine flood,28.1973,79.3734,1,87
30,Riverine flood,21.7139,73.4733,1,65
24,Riverine flood,21.9409,87.9347,1,41
48,Riverine flood,11.7804,78.7317,1,2
17,Riverine flood,17.4335,82.8115,1,52
10,Riverine flood,18.7332,75.2343,1,10
31,Riverine flood,10.5443,76.0498,1,10
17,Riverine flood,26.5993,94.0245,1,13
2,Riverine flood,25.6151,83.6713,1,10
5,Riverine flood,19.1719,83.6477,1,10
2,Riverine flood,19.1028,72.8816,1,24
4,Riverine flood,22.4114,71.3097,1,10
2,Riverine flood,20.1943,73.8242,1,10
15,Riverine flood,18.1046,81.5288,1,20
1,Riverine flood,27.5853,81.5174,1,10
22,Heavy rain,32.8864,73.8842,1,35
5,Riverine flood,19.73,83.7466,1,10
5,Riverine flood,14.1349,79.9324,1,10
2,Riverine flood,33.4819,74.2156,1,10
6,Riverine flood,26.2558,94.0189,1,10
1,Riverine flood,14.945,78.1615,1,10
3,Riverine flood,20.0539,81.8601,1,10
17,Riverine flood,21.0263,77.5237,1,10
16,Riverine flood,22.0231,72.2495,1,10
7,Riverine flood,22.6315,88.4871,1,10
11,Flash flood,27.5773,95.263,1,50
4,Flash flood,10.3906,76.3115,1,29
1,Riverine flood,20.4525,86.1978,1,27
7,Riverine flood,22.6824,70.925,1,10
35,Riverine flood,31.2388,76.5268,1,28
6,Riverine flood,15.7067,79.878,1,10
6,Heavy rain,20.9096,86.4033,1,78
2,Heavy rain,24.7214,93.9705,1,10
2,Heavy rain,12.725,79.7002,1,10
26,Heavy rain,10.762,78.7172,1,56
3,Heavy rain,26.4,93.755,1,43
6,Flash flood,22.1496,110.224,1,32
2,Flash flood,25.2411,90.1201,1,10
59,Heavy rain,27.4995,89.7871,1,10
44,Heavy rain,16.6523,81.3801,1,10
2,Heavy rain,27.0442,94.5503,1,10
8,Heavy rain,20.9522,84.4064,1,30
2,Heavy rain,20.2249,84.7692,1,10
2,Heavy rain,15.3059,74.7271,1,10
3,Heavy rain,27.481,93.8215,1,10
29,Riverine flood,26.5,85.5,1,10
3,Heavy rain,27.629,80.7483,1,10
3,Heavy rain,26.8177,94.143,1,10
20,Heavy rain,22.5263,88.0605,1,10
0,Flash flood,15.7081,78.233,1,10
9,Flash flood,11.4729,77.8452,1,98
7,Heavy rain,27.2504,94.6126,1,95
11,Heavy rain,26.3166,91.8623,1,340
3,Flash flood,26.6381,93.1226,1,557
2,Heavy rain,15.2182,79.4844,1,49
2,Heavy rain,30.1895,74.7785,1,258
3,Heavy rain,25.5869,86.1983,1,150
13,Flash flood,33.5267,76.1256,1,49
